No,Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Global Terrorism Index,Total Unemployment Rate,Education Index,Life Expectancy at Birth,Environmental Performance Index,Prison Population,Total
0,Sudan,2015,4th,9.50,9.80,9.70,8.60,7.90,8.80,9.60,8.80,9.60,8.70,10.00,9.80,1.84,5.22,0.82,8.30,8.44,0.84,Alert
1,South Sudan,2015,1st,10.00,10.00,10.00,9.00,8.80,6.90,10.00,10.00,10.00,9.80,10.00,10.00,0.00,0.86,0.71,7.49,7.99,0.78,Alert
2,Somalia,2015,2nd,9.70,10.00,9.50,9.10,9.00,9.20,9.30,9.30,10.00,9.60,9.80,9.50,0.16,1.50,0.77,6.65,8.16,0.85,Alert
3,Central African Republic,2015,3rd,9.80,10.00,9.60,8.30,9.70,6.90,9.50,9.90,10.00,8.40,10.00,9.80,5.25,1.12,0.89,8.20,3.37,0.92,Alert
4,Congo Democratic Republic,2015,5th,9.50,9.50,9.50,7.90,8.80,7.10,9.00,9.70,10.00,9.50,9.40,9.80,6.50,0.76,0.47,6.33,6.38,0.50,Alert
5,Yemen,2015,7th,10.00,9.40,9.40,9.30,8.10,7.50,9.30,8.20,9.10,9.20,9.10,9.50,3.57,0.38,0.46,7.53,8.25,0.49,Alert
6,Guinea,2015,10th,8.90,9.60,8.70,9.20,7.60,7.20,9.90,9.80,8.20,9.00,8.70,8.10,5.52,2.24,0.73,7.34,6.02,0.75,Alert
7,Afghanistan,2015,8th,10.00,9.30,8.90,8.60,7.20,8.10,9.70,9.30,8.60,9.30,9.10,9.80,5.60,1.82,0.40,6.04,2.72,0.48,Alert
8,Syria,2015,9th,10.00,9.90,10.00,7.50,7.00,7.40,9.90,8.20,10.00,8.10,10.00,9.90,0.01,0.62,0.82,5.74,7.65,0.88,Alert
9,Chad,2015,6th,8.80,9.50,8.20,7.80,9.10,8.60,9.30,9.70,9.40,9.70,10.00,8.30,1.59,1.28,0.34,5.07,4.95,0.35,Alert
10,Guinea Bissau,2015,17th,8.80,9.60,5.70,8.70,8.40,8.50,9.00,9.20,7.20,8.20,7.80,8.80,7.86,1.38,0.51,7.18,4.24,0.64,Alert
11,Nigeria,2015,14th,9.90,9.80,9.90,7.60,8.80,7.10,9.10,9.10,8.80,8.80,7.50,6.00,4.41,0.70,0.48,6.48,6.10,0.56,Alert
12,Iraq,2015,12th,10.00,9.60,10.00,6.90,7.80,8.10,9.20,7.50,8.90,8.20,8.90,9.40,0.24,2.26,0.53,6.80,6.08,0.62,Alert
13,Pakistan,2015,13th,9.60,9.20,10.00,7.70,7.30,7.00,8.60,7.90,8.40,9.00,8.90,9.30,1.72,0.96,0.21,7.49,6.59,0.35,Alert
14,Haiti,2015,11th,7.50,9.10,6.70,9.10,9.30,9.30,9.40,9.10,7.40,9.50,8.20,9.90,2.58,0.66,0.35,5.52,5.61,0.42,Alert
15,Liberia,2015,21st,6.90,8.30,6.20,8.60,8.30,6.60,7.30,9.70,6.70,9.50,9.20,10.00,0.58,5.28,0.72,7.44,7.39,0.66,Alert
16,Zimbabwe,2015,16th,7.90,9.70,7.80,8.00,8.10,8.00,9.00,8.50,8.30,8.70,8.40,7.60,0.00,1.92,0.68,5.85,8.32,0.84,Alert
17,Bangladesh,2015,32nd,7.70,9.60,8.40,6.70,7.20,7.50,8.50,8.10,7.70,8.10,6.60,5.70,9.37,2.46,0.72,7.66,4.30,0.82,Alert
18,Kenya,2015,21st,8.40,8.90,9.00,7.50,8.30,7.50,8.10,7.90,6.50,9.00,8.30,8.00,1.18,1.34,0.84,8.35,6.26,0.90,Alert
19,Rwanda,2015,37th,6.20,8.00,8.80,6.30,8.20,7.50,6.50,7.30,7.70,8.00,7.90,7.80,4.73,4.16,0.64,7.46,7.95,0.68,Alert
20,Myanmar,2015,27th,8.30,8.30,9.70,6.50,8.20,5.70,9.00,8.60,8.30,6.80,8.30,7.00,0.00,5.38,0.73,6.91,6.71,0.70,Alert
21,Burundi,2015,18th,7.70,7.90,8.00,8.50,7.70,6.80,8.40,8.30,8.20,9.20,9.00,8.40,4.24,2.14,0.26,5.87,3.82,0.40,Alert
22,Uganda,2015,23rd,7.60,8.90,8.70,7.00,7.30,7.30,8.00,8.30,7.90,8.90,8.80,8.30,0.24,0.76,0.64,6.94,8.25,0.74,Alert
23,Niger,2015,19th,8.70,8.90,7.50,8.20,8.40,6.90,7.50,9.30,6.80,9.60,7.90,8.10,1.45,0.96,0.55,6.59,6.42,0.64,Alert
24,Mauritania,2015,26th,7.40,8.80,6.90,8.00,7.10,6.30,7.90,8.90,8.00,8.60,8.50,8.50,0.00,6.18,0.45,6.51,5.70,0.47,Alert
25,Cote dIvoire,2015,15th,8.30,9.10,8.70,7.10,7.90,6.70,8.50,9.00,7.90,8.10,9.00,9.70,0.00,0.54,0.68,7.94,3.69,0.78,Alert
26,Mali,2015,30th,8.70,4.90,7.60,8.20,7.40,8.40,6.00,9.00,6.70,9.10,7.80,9.30,2.71,1.64,0.78,7.33,6.76,0.90,Alert
27,Timor-Leste,2015,35th,7.70,8.30,6.50,8.40,6.70,7.00,7.40,8.40,5.80,8.90,6.80,8.70,5.17,1.54,0.55,6.35,8.24,0.54,Alert
28,Eritrea,2015,24th,7.70,8.10,6.10,8.30,7.20,7.60,9.10,8.70,9.30,8.80,7.80,8.20,0.00,1.48,0.58,7.30,5.39,0.68,Alert
29,Lebanon,2015,40th,8.80,9.30,8.60,5.90,5.70,5.40,7.80,5.40,7.20,5.70,9.10,9.20,5.98,2.16,0.87,7.03,6.13,0.90,Alert
30,Ethiopia,2015,20th,8.40,8.60,8.50,6.90,7.10,7.00,7.40,8.60,8.50,9.20,9.40,7.90,0.08,1.66,0.27,6.37,4.53,0.42,Alert
31,Nepal,2015,35th,7.00,8.30,9.10,6.80,7.50,7.00,7.10,7.10,7.70,7.90,7.60,7.40,2.30,1.36,0.80,6.94,7.32,0.80,Alert
32,Iran,2015,44th,8.00,9.40,8.50,6.90,6.10,6.20,8.90,5.00,9.30,5.40,6.50,7.00,2.38,3.20,0.91,8.26,5.93,0.92,Warning
33,North Korea,2015,29th,8.60,8.50,6.30,9.00,8.00,4.20,10.00,8.90,9.70,7.50,4.30,8.80,0.00,1.26,0.90,6.96,4.93,0.92,Warning
34,Sierra Leone,2015,31st,4.80,7.70,6.20,8.70,8.80,8.40,6.90,9.30,5.60,9.50,8.20,7.80,1.73,0.68,0.66,6.42,6.47,0.76,Warning
35,Angola,2015,42nd,6.00,7.20,7.30,5.60,9.60,6.00,8.30,8.90,7.30,8.70,7.60,5.60,5.77,1.52,0.72,8.13,3.34,0.86,Warning
36,Solomon Islands,2015,50th,6.40,8.20,6.50,7.60,8.90,6.30,7.30,7.60,5.70,8.50,4.90,8.00,0.00,6.78,0.49,7.34,6.45,0.57,Warning
37,Cameroon,2015,28th,7.60,9.10,8.10,6.20,7.80,7.50,8.40,8.80,8.00,8.00,7.80,7.00,0.00,0.88,0.53,7.33,3.17,0.65,Warning
38,Libya,2015,25th,9.30,9.10,7.80,8.00,6.10,6.40,9.80,7.50,9.00,5.40,7.40,9.50,0.00,0.80,0.47,7.06,2.41,0.58,Warning
39,Gambia,2015,51st,6.00,6.80,3.70,7.80,7.20,7.70,7.80,7.70,8.60,8.20,6.40,7.50,3.55,2.48,0.83,8.22,5.23,0.89,Warning
40,Sri Lanka,2015,34th,7.90,9.10,9.30,5.90,7.60,7.80,8.00,5.60,8.80,6.00,8.20,6.40,0.00,1.38,0.81,5.09,7.80,0.92,Warning
41,Uzbekistan,2015,52nd,7.60,8.80,7.60,6.80,7.00,6.30,9.60,5.40,9.10,6.10,6.00,5.10,1.34,2.04,0.64,7.28,8.73,0.72,Warning
42,Zambia,2015,53rd,5.00,5.70,5.70,7.70,8.60,7.80,7.40,7.60,6.80,9.40,6.90,6.60,1.07,3.28,0.80,6.56,8.43,0.75,Warning
43,Swaziland,2015,48th,6.00,6.80,3.70,9.30,8.10,6.90,8.50,7.50,8.50,8.50,4.90,7.60,0.81,0.90,0.45,8.04,8.31,0.51,Warning
44,Togo,2015,47th,7.00,7.60,4.50,6.80,8.10,7.30,8.10,8.60,7.20,8.00,7.10,6.50,0.00,1.06,0.85,7.11,8.27,0.91,Warning
45,Congo Republic,2015,33rd,6.70,6.70,6.60,6.40,8.20,6.80,8.70,9.10,7.90,7.80,8.30,7.60,0.70,1.92,0.52,6.23,4.21,0.59,Warning
46,Colombia,2015,61st,7.30,7.60,8.00,3.80,7.50,6.70,7.10,6.00,7.30,6.90,7.80,6.50,5.23,3.88,0.63,7.58,4.36,0.73,Warning
47,Djibouti,2015,41st,6.90,7.30,6.60,7.40,7.80,5.80,7.60,7.80,7.20,8.20,7.10,8.40,0.00,2.90,0.92,8.02,3.70,0.92,Warning
48,Tanzania,2015,63rd,5.50,5.70,5.70,6.70,7.00,7.00,6.00,8.70,6.00,8.80,6.40,7.30,0.00,5.60,0.32,8.26,8.44,0.49,Warning
49,Egypt,2015,38th,8.20,9.00,8.70,8.10,6.50,4.70,8.70,5.40,9.80,7.10,6.70,7.10,0.00,1.24,0.62,7.35,3.93,0.72,Warning
50,Laos,2015,55th,6.00,8.30,6.30,5.50,6.90,7.40,9.00,7.70,8.10,7.10,5.60,6.60,4.67,1.64,0.52,6.16,5.51,0.55,Warning
51,Tajikistan,2015,57th,6.80,8.40,7.30,7.40,5.60,6.30,9.10,5.90,7.60,7.80,4.80,6.40,4.71,0.16,0.75,5.57,7.61,0.76,Warning
52,Philippines,2015,48th,9.10,8.00,8.30,6.00,6.20,6.20,7.50,7.20,5.90,8.20,7.40,6.30,0.04,1.80,0.81,6.62,6.42,0.78,Warning
