No,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
17,Niger,2013,18th,Alert,8.3,8.9,7.8,8.4,7.9,6.3,8.1,9.5,7.6,9.8,7.9,8.5
18,Ethiopia,2013,19th,Alert,8.4,8.7,8.6,7.7,7.6,6.7,7.3,8.7,8.7,9.7,8.7,8.1
19,Burundi,2013,20th,Alert,7.7,7.9,8.1,9.1,7.6,6.2,8.4,8.3,7.9,8.9,8.8,8.7
20,Syria,2013,21st,Alert,9.8,9.2,9.3,6.4,7.2,6.2,9.6,7,9.5,5.6,9.5,8.1
21,Uganda,2013,22nd,Alert,8.2,8.6,8,7.4,7.8,6.7,8.1,8.3,7.9,9.1,8.4,8.2
22,Liberia,2013,23rd,Alert,7.1,8.3,6.5,8.3,8,7,6.6,9.1,6.4,8.8,9.2,9.8
23,North Korea,2013,23rd,Alert,8.4,7.7,6.6,9.3,8.3,4.4,9.8,9.5,9.7,8,5,8.4
24,Eritrea,2013,25th,Alert,7.5,8.1,6.1,8.3,6.9,7.3,8.7,8.4,9.1,8.7,7.4,8.6
25,Myanmar,2013,26th,Alert,7.8,8.6,9,7.3,8.4,5.4,9,8.1,8.3,7.6,8.5,6.6
26,Cameroon,2013,27th,Alert,8,9.2,7.8,6.1,7.8,7.2,8.5,8.4,8.1,8.3,7.3,6.8
27,Sri Lanka,2013,28th,Alert,8.5,9.3,9.5,5.9,7.8,7.3,8.2,5.5,9,6.8,8.4,6.8
28,Bangladesh,2013,29th,Alert,7.7,8.9,8.6,7.3,7.8,7.5,8.3,8,7.3,8.1,7.3,5.8
29,Nepal,2013,30th,Alert,7.6,8.2,9,7.3,8.1,5.9,8.1,7.3,7.9,7.6,7.7,7.1
30,Mauritania,2013,31st,Alert,7.8,8.2,7.2,8,6.5,5.7,7.7,8.4,7.4,8.5,8.3,7.9
31,Timor-Leste,2013,32nd,Alert,8.3,8.3,6.8,7.9,6.7,6.4,8,8.5,6,8.7,7.4,8.5
32,Sierra Leone,2013,33rd,Alert,5.4,7.9,5.9,8.6,8.5,8,7.3,9,6.1,9,8.1,7.4
33,Egypt,2013,34th,Alert,7.3,8.7,8.5,8.2,7.1,5.4,8.9,5.6,9.6,7.2,6.5,7.7
34,Burkina Faso,2013,35th,Alert,7.2,7.3,5.3,7.7,8.4,6.3,7.7,8.7,6.8,9.4,7.4,8
35,Congo Republic,2013,36th,Alert,6.7,6.7,6,7,8.2,6.2,8.7,8.7,7.5,8.2,8,8.2
36,Iran,2013,37th,Warning,8.6,9.4,8.8,6.5,6.7,6.1,8.9,5,9.4,5.5,7.3,7.5
37,Mali,2013,38th,Warning,8.1,5,7.6,8.1,6.8,7.8,6,8.5,6.5,9.3,7.6,8
38,Rwanda,2013,38th,Warning,5.5,8.2,8.2,6.7,7.7,6.9,6.5,7.6,7.7,8.4,7.9,8
39,Malawi,2013,40th,Warning,5,7.6,5.7,8.4,8,8.1,7.5,8.2,6.8,8.9,6.5,8.4
40,Cambodia,2013,41st,Warning,6.2,8,7,6.4,7.3,7.4,8.3,8.1,7.8,7.2,6.2,8
41,Togo,2013,42nd,Warning,7.4,7.5,4.8,7.4,7.6,6.8,8.3,8.3,7.8,8.2,7.1,6.5
42,Angola,2013,43rd,Warning,6.1,7.3,6.8,5.1,9.4,5.9,8.6,8.4,7.3,8.9,7.2,6.1
43,Uzbekistan,2013,44th,Warning,7.9,8.7,7.5,7.2,7.6,6.3,9,5.4,9.2,6.7,6,5.4
44,Zambia,2013,45th,Warning,5,5.7,6,8.3,8,7.4,8,7.6,6.7,9.3,7.4,7.2
45,Lebanon,2013,46th,Warning,8.5,9.2,8.5,5.3,6.2,6,7.2,5.6,6.8,6.3,8.5,8.2
46,Equatorial Guinea,2013,47th,Warning,7.5,8.2,6.6,4.5,9.1,6.6,9.6,7.6,9.4,8.3,3.3,5.5
47,Kyrgyz Republic,2013,48th,Warning,7.4,8,8.4,7.6,7,6.4,8.4,5.9,7.6,6.2,5.6,7.3
48,Swaziland,2013,49th,Warning,6,7,3.6,8.9,7.5,6.3,8.7,7.8,8.3,9,4.9,7.5
49,Djibouti,2013,50th,Warning,6.6,7.5,6.2,6.9,7.3,5.2,7.8,7.4,7,8.3,7.2,8.1
50,Solomon Islands,2013,51st,Warning,6.7,8,6.8,7.8,8.3,5.7,7.3,8,5.9,7.7,4.9,8.2
51,Tajikistan,2013,51st,Warning,7.4,8.3,6.7,8,6.2,5.9,9.1,6.3,8.2,7.4,5.3,6.4
52,Papua New Guinea,2013,53rd,Warning,6.6,7.1,6.6,6.9,9.1,7.5,7.1,8.9,6.2,7.6,5,6.3
53,Libya,2013,54th,Warning,8.9,8,7.4,5,6.7,4.2,8.4,7.3,9,5.5,5.4,8.8
54,Georgia,2013,55th,Warning,7.9,9.4,8,6.4,6.3,5.2,8.6,5.4,6.4,5.2,7.5,7.9
55,Comoros,2013,56th,Warning,7.5,7.5,5.3,8.2,6.4,7.2,7.4,7.9,6.6,7.4,4.5,8.1
56,Colombia,2013,57th,Warning,6.8,7.7,7.5,3.8,8.1,7.3,7.3,6.1,7.3,6.5,8.3,7.1
57,Laos,2013,58th,Warning,6.6,8.3,6.1,5.7,6.1,6.8,8.6,7.3,8.3,7.5,5.8,6.6
58,Mozambique,2013,59th,Warning,6.5,5.6,4.9,8,8,7.2,7,8.5,6.4,9.2,4.6,6.8
59,Philippines,2013,59th,Warning,8.7,8,7.9,5.6,6.5,6.2,7.6,6.4,6.7,7.1,6.5,5.5
60,Madagascar,2013,61st,Warning,7,7.5,4.9,8.2,7.9,5.5,7.2,8.6,5.9,8.1,4.3,7.7
61,Bhutan,2013,62nd,Warning,5.6,7.5,7.3,6.3,7.5,6.8,6,6.9,7.3,6.4,6.9,7.3
62,Gambia,2013,62nd,Warning,5.5,6.8,3.7,7.8,6.8,7.1,7.6,7.5,8,7.7,6.4,6.9
63,Senegal,2013,64th,Warning,6.2,6.6,6.3,7.2,6.8,6.8,5.9,7.8,6.2,8.3,7,6.3
64,Tanzania,2013,65th,Warning,5.5,5.7,6,6.8,6.4,6.4,6.2,8.8,6.2,8.6,6.8,7.7
65,China,2013,66th,Warning,6.5,7.2,8.3,3.6,8,5,8.1,6.8,9.4,8.1,6.1,3.8
66,Bolivia,2013,67th,Warning,6.7,8,7.1,6.2,8.9,6.4,7.2,6.8,6.3,6.9,4,6.3
67,Fiji,2013,67th,Warning,7,7.9,7.3,7.3,7.4,7,8.8,4.9,7.3,5.2,3.8,6.9
68,Israel and West Bank,2013,67th,Warning,7.1,8.1,9.8,3.7,7.5,3.2,6.7,5.9,7.6,6.2,7.4,7.7
69,Guatemala,2013,70th,Warning,7,6,7.3,6.1,8.1,7.1,6.9,6.9,6.6,7.3,6,5.4
70,Lesotho,2013,71st,Warning,5.2,7,4.7,8.5,6.7,6.8,6,8.2,5.4,8.8,4.9,7.2
71,Nicaragua,2013,72nd,Warning,5.6,6.8,5.9,6.8,7.9,7.8,7.5,6.8,5.4,6.6,4.8,7.3
72,Algeria,2013,73rd,Warning,7.4,7.3,7.8,5.8,6.2,5.1,7.4,5.9,7.7,5.8,7,5.2
73,Ecuador,2013,74th,Warning,6.7,8.2,7.2,5.6,7.4,6.8,7.2,6.9,4.9,5.8,5.7,6.2
74,Honduras,2013,75th,Warning,6.8,6.3,5.8,6.9,8.1,6.6,6.9,6.8,6.3,7,3.9,6.9
75,Azerbaijan,2013,76th,Warning,6.9,7.8,6.9,4.7,6.1,4.7,8.2,5.1,7.6,5.3,7.9,6.9
76,Indonesia,2013,76th,Warning,6.8,7,7.3,5.5,6.9,6.3,6.4,6.1,6.5,7.5,6,5.9
77,Benin,2013,78th,Warning,5.8,6.1,3.6,7.1,7.2,6.2,6,8.6,5.1,8.3,6.5,7.3
78,India,2013,79th,Warning,7.8,6.8,8.2,5.4,8.1,5.4,5.2,6.7,5.9,7.5,5.2,5.2
79,Russia,2013,80th,Warning,8.5,8,8.2,3.5,7,5.1,8.1,5.1,8.6,5.7,5.3,4
80,Belarus,2013,81st,Warning,6.3,8.3,6.8,6.2,5.7,3.9,9,5.2,8.3,5.7,3.6,7.6
81,Turkmenistan,2013,81st,Warning,7.1,7.7,6.7,5.4,6.5,4.9,9.3,6.1,8.7,5.9,3.9,4.6
82,Bosnia and Herzegovina,2013,83rd,Warning,6.4,8.7,7.7,5.2,6.2,5.6,6.7,4.4,6.4,4.4,6.8,8
83,Moldova,2013,83rd,Warning,7.2,7.7,6,6.4,5.9,6.9,6.9,5.7,6,5.9,5,6.9
84,Tunisia,2013,83rd,Warning,7.2,7.8,7.8,6,6,5,7.9,5,8.4,4.9,4.2,6.3
85,Turkey,2013,86th,Warning,7.9,7.3,9,5.3,6.8,3.9,5.9,5.5,5.5,5.7,7.4,5.6
86,Jordan,2013,87th,Warning,5.8,6.8,7.1,6.5,6.5,4.2,6.5,4.3,7.4,6.7,7.8,6.2
87,Maldives,2013,88th,Warning,5.8,8,4.9,6.5,4.4,6.2,8.3,6.7,7.6,5.4,5.3,6.4
88,Venezuela,2013,89th,Warning,6.5,7.3,6.4,5.4,6.9,5.8,7.6,6.5,7.7,5.4,4.8,4.9
89,Thailand,2013,90th,Warning,7.8,8.8,8.1,3.5,6.4,3.5,6.2,4.6,7.3,7.9,6.4,4.6
90,Sao Tome and Principe,2013,91st,Warning,5.8,6.3,4.8,7.9,6.3,7.9,6.6,6.4,4.3,6.6,4.3,7.3
91,Serbia,2013,92nd,Warning,6.5,8,8,6.5,5.9,4.7,6.3,4.7,5.5,4.7,6.6,7
92,Morocco,2013,93rd,Warning,6.3,6.6,6.5,5.3,6.9,7,6.7,5.9,6.6,5.8,5.9,4.9
93,Cape Verde,2013,94th,Warning,5.7,5.5,4.2,6.1,6.9,8.3,6.3,6.5,5.1,6.7,4.1,8.2
94,Dominican Republic,2013,95th,Warning,5.2,6.5,6.1,5.5,6.9,7.9,5.4,6.2,5.7,6.4,5.5,5.9
95,El Salvador,2013,95th,Warning,6.4,4.3,5.7,6.5,7,6.9,5.9,6.5,6.1,7.4,5.5,5.1
96,Mexico,2013,97th,Warning,7.9,5.2,6.1,5.2,7.2,5.9,6.1,6.6,6.3,6.5,4,6.1
97,Vietnam,2013,97th,Warning,5.4,6.9,5.7,6.2,5.8,5.7,7.8,5.8,7.5,5.9,4.7,5.6
98,Gabon,2013,99th,Warning,5.4,7.1,3.3,5.2,7.3,5.5,7.6,7,6.8,6.8,5.6,5.4
99,Micronesia,2013,99th,Warning,5.4,5.6,4.2,7.5,8,8.4,6.3,6.3,3.1,7.1,3.1,7.9
100,Cuba,2013,101st,Warning,6.3,6.9,4.8,5.2,5.9,6.3,6.5,4.7,7.5,6.6,5.3,6.7
101,Saudi Arabia,2013,102nd,Warning,7.2,8,7.4,3.6,6.4,3.1,7.8,4,8.9,5.5,5.2,5.6
102,Peru,2013,103rd,Warning,7,6.7,7,4.1,7.8,6.1,7.1,6.4,5,5.9,4.7,4.5
103,Paraguay,2013,104th,Warning,6.1,7.9,6.5,5.1,8.6,4.9,7.9,6.1,6.1,6.1,2.4,4.2
104,Armenia,2013,105th,Warning,5.3,7,5.7,5.9,5.6,6,6.6,4.4,6.8,4.9,7,6.2
105,Suriname,2013,106th,Warning,5.8,5.8,6.1,7.1,7,7.6,6.1,5.3,5.4,5.7,3,6.3
106,Guyana,2013,107th,Warning,5.8,5.1,5.9,6.6,6.8,8.5,6.2,6,4.4,5.8,3.8,5.9
107,Namibia,2013,108th,Warning,4.9,3.5,5.3,6.7,8.7,6.5,4.1,6.7,4.9,6.9,5.6,6.5
108,Kazakhstan,2013,109th,Warning,6.4,7.7,6.2,6.2,5.3,3.6,7.8,5.1,7.1,5.3,3.8,5.3
109,Ghana,2013,110th,Warning,3.8,5,4.9,6.1,6.5,7.3,5.1,7.6,4.7,6.7,5.5,6
110,Samoa,2013,111th,Warning,5.5,5.1,4.8,5.9,6,8.8,6,4.8,4.5,6.8,2.5,8
111,Macedonia,2013,112th,Warning,6,7,7.8,5.9,6.2,6.1,6.1,3.9,4.3,3.9,5.2,5.6
112,South Africa,2013,113th,Warning,5.1,5.6,5.7,5.9,8,4.3,5.3,6.3,4.2,7.8,6.5,2.9
113,Belize,2013,114th,Warning,5.5,4.3,4.4,5.5,6.6,7.1,6,6,4.1,6.5,4.9,6.3
114,Cyprus,2013,115th,Warning,5,7.9,7.3,5.8,7,4.8,5.5,3,3.3,4,4.4,9
115,Malaysia,2013,116th,Warning,6,6.8,6.1,4.1,5.9,4.8,6.2,4.5,7.1,5.6,4.6,4.4
116,Ukraine,2013,117th,Warning,4.4,8,5.9,5.4,5.3,5.7,7.8,3.6,5.7,4.7,3.2,6.2
117,Jamaica,2013,118th,Warning,6.3,3.7,4,6.6,5.9,7.2,6.1,5.7,5,5.6,3.4,6.3
118,Albania,2013,119th,Warning,5.5,6.3,4.8,5.3,4.8,6.6,7,4.8,6,4.7,3.1,6.3
119,Grenada,2013,120th,Warning,5.3,5.6,3.9,5.8,5.9,8.5,6.2,3.6,3.7,5.2,3.2,7.7
120,Botswana,2013,121st,Warning,3.5,3.3,4.8,6.1,7.5,5,4.4,6,4.4,8.3,5.8,4.8
121,Seychelles,2013,121st,Warning,6.4,5.7,4.8,5.2,6.6,4.9,6.3,3.5,5.2,5.2,3.3,6.9
122,Brunei Darussalam,2013,123rd,Warning,5.6,7.4,6.2,2.8,7.8,4.6,7.4,2.6,6.9,4.5,3.3,4.1
123,Bahrain,2013,124th,Warning,6.1,7.1,7.3,3.2,5.7,3.3,7.6,2.4,7.5,4.6,2.5,5.6
124,Trinidad and Tobago,2013,125th,Warning,5.7,5.6,4.4,4.6,6.1,7.8,5.6,5.2,5.2,5.3,3,4.2
125,Brazil,2013,126th,Warning,5.9,4.9,5.9,3.3,8.3,3.9,5.3,5.4,5.3,7,3.6,3.3
126,Kuwait,2013,127th,Stable,4.4,7.9,4.6,3.4,5.3,3.7,7.6,2.6,6.8,5.1,3.8,4.4
127,Antigua and Barbuda,2013,128th,Stable,4.9,3.7,4.1,4.5,5.6,7.6,5.8,4,4.4,4.6,3,5.8
128,Mongolia,2013,129th,Stable,4.4,5.5,3.7,4.7,6.3,2.5,5.3,5.7,5.4,5.5,2.2,6.5
129,Romania,2013,130th,Stable,4.1,5.2,6.3,5.7,5.3,4.7,6.4,4.3,3.9,4.3,2.7,4.6
130,Panama,2013,131st,Stable,5.1,2.5,5,3.8,7.9,4.5,4.7,5,4.4,5.9,3.7,3.3
131,Bulgaria,2013,132nd,Stable,4.7,5.3,4.6,5,5.1,4.9,4.8,4.4,3.7,4.4,3.1,5
132,Bahamas,2013,133rd,Stable,4.3,4.5,4.4,4.5,5.6,5.6,4.9,4.4,2.8,6.6,2.8,4.3
133,Montenegro,2013,134th,Stable,4.6,6.2,6.5,4.6,3.5,3,4.2,3.6,4.4,3.9,4.5,5.3
134,Croatia,2013,135th,Stable,4.8,4.4,5.3,5.1,4.4,4.4,3.9,2.9,4.7,3.7,5.5,5
135,Oman,2013,136th,Stable,5.3,6.6,2.7,4.5,3.6,1.8,6.1,4.4,7.5,5,2,2.4
136,Barbados,2013,137th,Stable,4.2,4.2,4.4,5.8,5.7,6.2,3.6,2.7,2.5,3.8,2.7,5
137,Greece,2013,138th,Stable,3.9,3,4.8,6.4,4.3,4.4,5.4,3.9,3,4.3,2,5.1
138,Costa Rica,2013,139th,Stable,2.5,3.8,4.1,4.3,6.1,3.5,3.5,4.6,2.4,4.9,4.1,4.9
139,Latvia,2013,140th,Stable,3.3,4.3,5.4,4,4.9,4.2,4.5,3.4,3.2,3.6,3.3,3.8
140,Hungary,2013,141st,Stable,2.3,4.8,4.1,6,4.9,3.9,5.9,3.1,3.4,2.5,2.9,3.8
141,United Arab Emirates,2013,142nd,Stable,2.9,3.6,4.3,3.5,4.8,2.4,6.5,2.9,6.4,3.9,2.5,3.5
142,Qatar,2013,143rd,Stable,2.5,5,4.9,2.9,4.8,3.1,5.9,2,5.6,4.3,2.1,4
143,Argentina,2013,144th,Stable,3,2.7,5,4,6,3,4.4,3.9,4.1,4.1,2,3.8
144,Estonia,2013,145th,Stable,2.9,5.5,5.9,3.5,4.3,3.9,3.8,3,2.4,3.5,3.3,3.3
145,Slovak Republic,2013,145th,Stable,2.3,3.7,5,5.2,4.6,4.5,4.3,3.5,3,3.2,2,3.9
146,Italy,2013,147th,Stable,5,4.8,4.7,4.8,3.6,2.6,4.7,2.4,2.9,3.8,3.3,2
147,Mauritius,2013,148th,Stable,3.3,3.2,3.5,4.1,4.8,3.6,4.1,3.8,3.5,3.8,2.2,4.6
148,Spain,2013,149th,Stable,4.1,6,5.8,5.5,4.1,3,3.3,3.3,2.2,2.8,2.3,2
149,Lithuania,2013,150th,Stable,2.5,3,3.7,4.5,5.2,4.1,3.8,3.4,2.9,3.8,2.9,3.2
150,Malta,2013,151st,Stable,3.7,2,4,3.6,3.5,4.1,4.1,2.3,3.3,2.8,5.2,3.8
151,Chile,2013,152nd,Stable,2.9,1.4,3.5,4.1,5.5,2.8,3.8,4.3,3.5,4.9,2.4,3.2
152,Poland,2013,153rd,Stable,2.5,3.6,3.8,3.5,3.9,5,3.4,2.8,2.9,3.5,2.8,3.3
153,Czech Republic,2013,154th,Stable,2.1,4.2,3.8,4.5,3.8,3.4,4.1,3.7,2.4,2.5,2.2,3.2
154,Uruguay,2013,155th,Stable,3.7,2.7,2.8,3.6,4.4,4.7,1.7,3.4,2.3,3.8,1.9,3.5
155,Japan,2013,156th,Stable,1.7,2.6,3.8,3.7,1.8,2,2.2,2.5,3,5.4,3.7,3.7
156,South Korea,2013,157th,Stable,2.1,3.6,3.1,2,2.9,3.9,2.9,1.9,2.6,3,2,5.4
157,Singapore,2013,158th,Stable,1.5,4,2.7,3,3.7,3.3,3.2,1.9,4.9,2.5,1.1,2.2
158,United States,2013,159th,Stable,2.2,3.9,4.2,3.2,4.8,1,2.3,2.4,3.2,3,2.3,1
159,United Kingdom,2013,160th,Stable,2.7,3.5,5,4.1,3.6,2.1,1.6,2.3,1.8,2.5,2.7,1.3
160,France,2013,161st,Stable,2.3,1.9,5.9,4,4.3,1.9,2.2,1.5,2.4,2.7,2.2,1.4
161,Portugal,2013,161st,Stable,1.6,1.3,2.3,5.4,3.4,2.6,2.1,3.5,2.7,2.8,1.6,3.3
162,Slovenia,2013,163rd,Stable,2.5,1.6,3.3,3.6,4.5,3.2,2.8,2.1,2.5,2.5,1.4,2.3
163,Belgium,2013,164th,Stable,2,3.9,4.1,3.5,3.8,1.8,2.1,2.2,1.5,2.5,1.6,2
164,Germany,2013,165th,Sustainable,2.2,2,4.3,2.6,3.9,2.2,1.4,1.8,1.9,2.4,3.6,1.4
165,Austria,2013,166th,Sustainable,1.1,2.7,4.3,1.9,4,1.6,1.5,1.5,2,2.3,2.4,1.6
166,Netherlands,2013,166th,Sustainable,1.8,2.6,4.1,3.5,2.3,2.2,1,1.5,1,3,2.4,1.5
167,Canada,2013,168th,Sustainable,1.8,2.5,3.1,1.8,3.5,2.1,1.5,2,2,2.6,2.1,1
168,Australia,2013,169th,Sustainable,1.7,1.6,3.6,2.1,3.3,1.1,1,1.8,2.2,3.3,2.7,1
169,Ireland,2013,170th,Sustainable,1.8,1.3,1.6,3.9,2.5,2.8,1.9,1.9,1.3,2.2,1.4,2.2
170,Iceland,2013,171st,Sustainable,1,1.8,1,3.7,1.7,2.8,1.4,1.6,1.3,1.6,1.6,5.2
171,Luxembourg,2013,172nd,Sustainable,2.3,3.4,2.8,1.5,1.5,2.1,1.9,1.3,1,1.7,1.8,2
172,New Zealand,2013,173rd,Sustainable,1.1,1.1,3.5,3.6,3.4,2.4,0.5,1.8,1.2,2.1,1.1,1
173,Denmark,2013,174th,Sustainable,1.5,1.4,3.4,1.9,1.6,1.9,1,1.4,1.7,2.5,1.6,2
174,Norway,2013,175th,Sustainable,2.7,1.1,3.6,1.9,1.5,1.6,0.5,1.4,1.9,2,1.9,1.3
175,Switzerland,2013,175th,Sustainable,1.4,1,3.5,2.3,2.3,2.1,0.8,1.4,1.7,2.1,1.5,1.4
176,Sweden,2013,177th,Sustainable,2.2,1.8,1,1.7,1.7,1.7,0.5,1.9,1.3,2.5,2.4,1
177,Finland,2013,178th,Sustainable,1,1.1,1.4,3.2,1,2.3,1,1.5,1.1,1.9,1.6,1
