No,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
0,Somalia,2013,1st,Alert,9.7,10,9.3,9.4,8.4,8.9,9.5,9.8,10,9.5,10,9.4
1,Congo Democratic Republic,2013,2nd,Alert,10,9.5,9.4,8.5,8.8,7.1,9.6,9.5,9.8,10,10,9.7
2,Sudan,2013,3rd,Alert,9.8,10,10,7.8,8.5,8.4,9.6,8.8,9.3,8.8,10,10
3,South Sudan,2013,4th,Alert,9.6,9.8,10,8.6,8.9,6.5,9.1,9.8,9.3,8.9,10,10
4,Chad,2013,5th,Alert,9.4,9.5,8.8,8,8.9,8,9.7,9.9,9.8,9.5,9.7,7.9
5,Yemen,2013,6th,Alert,9.8,9.5,9,9.2,8.1,7.4,9.3,8.7,8.7,9.3,9.2,8.7
6,Afghanistan,2013,7th,Alert,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10
7,Haiti,2013,8th,Alert,7.9,9,7,9.7,9.1,9.1,8.8,9.6,7.6,9.6,8.6,9.9
8,Central African Republic,2013,9th,Alert,9.7,9.1,8.5,7.7,9.2,6.1,9,9.5,8.6,8.6,9.8,9.4
9,Zimbabwe,2013,10th,Alert,8.4,9.7,8.4,8.6,8.6,8.6,9.2,9.1,8.9,9.2,8.7,7.8
10,Iraq,2013,11th,Alert,10,9.6,10,7.3,8.4,8.3,8.6,7.6,8.6,8.3,8.8,8.5
11,Cote dIvoire,2013,12th,Alert,9.1,9.4,9,7.7,7.8,7.3,9.3,8.5,8.6,7.8,9.3,9.7
12,Pakistan,2013,13th,Alert,9.8,9.2,9.7,7.5,7.9,6.9,8.4,7.3,8.7,8.9,9.1,9.6
13,Guinea,2013,14th,Alert,9.1,8.9,7.6,9.2,8.2,7.7,9.8,8.9,8.4,8.4,8.2,7
14,Guinea Bissau,2013,15th,Alert,9.5,9.7,5.7,8.7,8.1,8,9.7,8.8,7.6,8.4,7.8,9
15,Nigeria,2013,16th,Alert,9.5,9.4,9.8,7.5,9.2,7.3,8.8,9.3,8.6,8.5,6.6,6.3
16,Kenya,2013,17th,Alert,8.1,9,9,7.6,8.3,7.8,8.3,8.1,7.1,9.1,8.7,8.5
