No,Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Global Terrorism Index,Total Unemployment Rate,Education Index,Life Expectancy at Birth,Environmental Performance Index,Prison Population,Total
24,Uganda,2014,22nd,7.90,8.90,8.30,7.30,7.60,6.90,7.80,8.30,7.60,8.70,8.70,8.00,0.24,0.76,0.64,6.94,8.25,0.74,Alert
25,Timor-Leste,2014,31st,8.00,8.30,6.80,8.20,6.40,6.70,7.70,8.50,5.70,8.80,7.10,8.80,5.17,1.54,0.55,6.35,8.24,0.54,Alert
26,Mauritania,2014,28th,7.70,8.50,7.20,7.70,6.80,6.00,7.40,8.60,7.70,8.40,8.80,8.20,0.00,6.18,0.45,6.51,5.70,0.47,Alert
27,Ethiopia,2014,19th,8.10,8.70,8.90,7.40,7.30,6.70,7.10,8.90,8.00,9.40,9.00,8.40,0.08,1.66,0.27,6.37,4.53,0.42,Alert
28,Eritrea,2014,23rd,7.60,8.10,6.40,8.00,7.20,7.50,8.80,8.40,9.20,8.50,7.30,8.50,0.00,1.48,0.58,7.30,5.39,0.68,Alert
29,Nepal,2014,31st,7.30,8.30,9.00,7.10,7.80,6.20,7.60,7.40,7.60,7.80,7.60,7.30,2.30,1.36,0.80,6.94,7.32,0.80,Alert
30,Lebanon,2014,46th,8.60,9.30,8.90,5.60,6.00,5.70,7.30,5.70,6.80,6.00,8.60,8.40,5.98,2.16,0.87,7.03,6.13,0.90,
31,Mali,2014,36th,8.00,4.90,7.50,7.90,7.10,8.10,5.90,8.60,6.80,9.00,7.50,8.50,2.71,1.64,0.78,7.33,6.76,0.90,
32,North Korea,2014,26th,8.50,8.20,6.60,9.00,8.00,4.40,9.90,9.20,9.60,7.50,4.70,8.40,0.00,1.26,0.90,6.96,4.93,0.92,Warning
33,Iran,2014,44th,8.30,9.40,8.80,6.40,6.40,5.90,8.70,4.80,9.30,5.30,6.80,7.10,2.38,3.20,0.91,8.26,5.93,0.92,Warning
34,Sri Lanka,2014,30th,8.20,9.40,9.30,6.20,7.50,7.60,8.30,5.30,9.10,6.50,8.50,6.70,0.00,1.38,0.81,5.09,7.80,0.92,Warning
35,Solomon Islands,2014,47th,6.70,8.00,6.80,7.50,8.60,6.00,7.00,7.90,6.00,8.20,5.20,8.50,0.00,6.78,0.49,7.34,6.45,0.57,Warning
36,Angola,2014,43rd,5.80,7.20,7.10,5.40,9.50,6.00,8.00,9.10,7.00,9.00,7.50,5.80,5.77,1.52,0.72,8.13,3.34,0.86,Warning
37,Zambia,2014,49th,4.70,5.70,6.00,8.00,8.30,7.70,7.70,7.90,6.80,9.30,7.20,6.90,1.07,3.28,0.80,6.56,8.43,0.75,Warning
38,Uzbekistan,2014,48th,7.60,8.80,7.40,7.10,7.30,6.60,9.30,5.40,9.30,6.40,5.70,5.40,1.34,2.04,0.64,7.28,8.73,0.72,Warning
39,Sierra Leone,2014,35th,5.10,7.70,5.90,8.30,8.50,8.30,7.20,9.10,5.90,8.70,7.80,7.40,1.73,0.68,0.66,6.42,6.47,0.76,Warning
40,Togo,2014,41st,7.10,7.60,4.80,7.10,7.80,7.10,8.40,8.30,7.50,7.90,7.40,6.80,0.00,1.06,0.85,7.11,8.27,0.91,Warning
41,Cameroon,2014,27th,7.70,9.50,7.80,5.90,7.50,7.50,8.20,8.50,8.30,8.10,7.60,6.50,0.00,0.88,0.53,7.33,3.17,0.65,Warning
42,Colombia,2014,59th,7.00,7.70,7.70,4.10,7.80,7.00,7.40,6.30,7.10,6.20,8.00,6.80,5.23,3.88,0.63,7.58,4.36,0.73,Warning
43,Egypt,2014,31st,7.90,9.40,8.60,7.90,6.80,5.10,9.00,5.70,9.70,7.10,6.40,7.40,0.00,1.24,0.62,7.35,3.93,0.72,Warning
44,Swaziland,2014,51st,5.70,7.00,3.60,8.90,7.80,6.60,8.80,7.70,8.00,8.70,5.20,7.80,0.81,0.90,0.45,8.04,8.31,0.51,Warning
45,Gambia,2014,59th,5.20,6.80,3.70,7.50,7.10,7.40,7.50,7.80,8.30,7.90,6.70,7.20,3.55,2.48,0.83,8.22,5.23,0.89,Warning
46,Tajikistan,2014,55th,7.10,8.40,7.00,7.70,5.90,6.10,9.00,6.20,7.90,7.50,5.10,6.70,4.71,0.16,0.75,5.57,7.61,0.76,Warning
47,Georgia,2014,63rd,7.60,9.50,8.00,6.30,6.20,5.50,8.70,5.10,6.10,4.90,7.20,7.60,6.24,1.00,0.62,6.44,6.34,0.69,Warning
48,Tanzania,2014,65th,5.20,5.70,5.90,6.70,6.70,6.70,6.00,8.70,6.30,8.60,6.70,7.60,0.00,5.60,0.32,8.26,8.44,0.49,Warning
49,Congo Republic,2014,37th,6.40,6.70,6.30,6.70,8.10,6.50,8.40,8.80,7.60,8.10,8.10,7.90,0.70,1.92,0.52,6.23,4.21,0.59,Warning
50,Comoros,2014,54th,7.50,7.50,5.30,8.30,6.70,7.50,7.10,8.20,6.90,7.30,4.80,8.00,4.00,1.44,0.63,7.40,4.29,0.72,Warning
51,Djibouti,2014,45th,6.90,7.60,6.40,7.20,7.50,5.50,7.90,7.70,6.90,8.10,7.40,8.00,0.00,2.90,0.92,8.02,3.70,0.92,Warning
52,Kyrgyz Republic,2014,58th,7.10,8.00,8.20,7.30,6.70,6.10,8.20,5.90,7.30,6.00,5.50,7.60,2.85,0.70,0.81,6.94,7.50,0.79,Warning
53,Laos,2014,56th,6.30,8.30,6.00,5.80,6.60,7.10,8.60,7.40,8.00,7.40,5.90,6.90,4.67,1.64,0.52,6.16,5.51,0.55,Warning
54,Burkina Faso,2014,39th,6.90,7.30,5.30,7.40,8.10,6.60,7.80,8.80,6.50,9.00,7.60,7.70,0.56,0.32,0.78,7.42,3.68,0.79,Warning
55,Malawi,2014,38th,5.10,7.70,5.70,8.30,8.10,8.40,7.60,8.10,6.50,8.80,6.40,8.40,0.00,1.32,0.62,6.09,4.55,0.72,Warning
56,Philippines,2014,52nd,8.80,8.00,8.30,5.70,6.30,5.90,7.30,6.90,6.40,7.80,7.70,6.20,0.04,1.80,0.81,6.62,6.42,0.78,Warning
57,Cambodia,2014,40th,6.30,8.60,7.30,6.10,7.40,7.20,8.40,8.00,7.90,7.50,6.10,7.70,1.45,0.08,0.40,5.67,4.69,0.41,Warning
58,Bolivia,2014,70th,6.40,8.00,6.80,5.90,8.60,6.10,6.90,7.00,6.00,6.60,4.30,6.30,3.70,6.24,0.45,6.95,4.26,0.60,Warning
59,Equatorial Guinea,2014,52nd,7.20,8.20,6.60,4.20,8.80,6.30,9.70,7.40,9.50,8.00,3.60,5.80,0.14,1.66,0.60,7.11,5.35,0.69,Warning
60,Honduras,2014,75th,6.40,7.00,6.10,6.60,7.80,6.30,7.00,6.70,6.00,6.70,4.20,7.10,7.19,1.54,0.57,6.64,6.12,0.64,Warning
61,Algeria,2014,71st,7.50,7.30,7.90,6.10,5.90,5.00,7.50,6.10,7.40,5.70,6.70,5.70,5.19,2.12,0.66,7.48,4.47,0.74,Warning
62,Mozambique,2014,50th,6.60,6.60,5.40,8.10,8.30,7.40,7.50,8.70,6.40,8.90,4.90,7.10,0.00,0.92,0.65,7.68,3.51,0.64,Warning
63,Bosnia and Herzegovina,2014,86th,6.50,8.70,7.40,5.50,5.90,5.80,6.80,4.40,6.10,4.10,6.80,7.90,6.58,3.58,0.66,6.83,4.97,0.67,Warning
64,Libya,2014,41st,9.20,8.10,7.50,6.10,6.40,5.50,8.50,7.40,8.70,5.70,5.70,9.00,0.00,0.80,0.47,7.06,2.41,0.58,Warning
65,Papua New Guinea,2014,57th,6.40,7.10,6.60,6.60,9.30,7.30,6.60,9.00,6.30,7.60,4.90,6.40,0.19,1.20,0.92,5.28,6.46,0.95,Warning
66,Maldives,2014,88th,5.80,8.30,4.90,6.70,4.20,5.90,8.40,6.40,7.40,5.70,5.00,6.70,4.66,2.32,0.88,8.00,6.43,0.85,Warning
67,Senegal,2014,62nd,6.50,6.60,6.60,7.00,7.00,7.10,6.00,7.90,6.50,8.10,7.30,6.20,0.00,1.18,0.76,7.82,5.02,0.80,Warning
68,Jordan,2014,83rd,5.50,6.90,7.40,6.60,6.20,3.90,6.40,5.00,7.30,6.70,8.30,6.50,5.21,1.02,0.80,8.31,5.41,0.88,Warning
69,Tunisia,2014,78th,7.30,8.10,7.80,6.30,5.70,5.30,8.00,5.20,8.10,4.70,4.40,6.60,0.23,3.06,0.44,8.22,8.22,0.55,Warning
