No,Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Global Terrorism Index,Total Unemployment Rate,Education Index,Life Expectancy at Birth,Environmental Performance Index,Prison Population,Total
103,Micronesia,2014,91st,5.40,5.60,4.20,7.80,8.30,8.70,6.30,6.00,3.40,7.20,3.50,8.20,0.00,0.78,0.31,7.68,5.73,0.44,Warning
104,Bahrain,2014,120th,6.20,7.10,7.60,3.50,5.40,3.30,7.90,2.50,7.80,4.90,2.90,5.60,10.00,0.88,0.71,7.54,4.87,0.79,Warning
105,Moldova,2014,89th,6.90,7.80,6.20,6.60,5.60,6.60,6.60,5.40,5.70,5.60,4.70,7.40,0.00,1.46,0.78,5.80,5.46,0.85,Warning
106,Suriname,2014,109th,5.70,5.80,6.10,7.10,6.90,7.40,5.80,5.50,5.20,5.60,3.30,6.20,0.00,1.60,0.89,7.63,7.54,0.89,Warning
107,Kazakhstan,2014,111th,6.00,7.60,6.50,5.90,5.00,3.90,7.70,4.80,7.20,5.10,3.80,5.00,2.95,1.84,0.68,7.57,6.44,0.73,Warning
108,Peru,2014,97th,6.70,6.70,7.30,4.20,7.50,6.40,7.40,6.70,4.80,5.80,5.00,4.40,0.00,1.32,0.40,7.68,5.57,0.55,Warning
109,Mexico,2014,105th,7.60,5.10,6.10,4.90,6.90,5.60,5.80,6.30,6.00,6.70,4.30,5.80,0.47,0.98,0.56,7.47,6.43,0.70,Warning
110,Samoa,2014,110th,5.50,5.10,4.80,6.20,5.70,8.90,6.00,5.10,4.80,6.50,2.40,8.30,0.00,3.94,0.85,6.82,5.39,0.85,Warning
111,El Salvador,2014,100th,6.10,4.30,6.00,6.20,6.90,6.60,5.60,6.40,5.80,7.10,5.60,5.40,0.00,1.72,0.67,7.59,4.07,0.74,Warning
112,Grenada,2014,118th,5.30,5.60,3.90,6.10,5.60,8.20,6.20,3.90,4.00,5.50,3.50,7.40,6.76,0.34,0.55,6.14,6.85,0.58,Warning
113,Cuba,2014,107th,6.00,7.20,4.80,4.80,5.90,6.00,6.80,4.90,7.00,5.90,5.00,6.50,0.31,1.22,0.78,7.94,4.33,0.77,Warning
114,Albania,2014,123rd,5.00,6.20,4.70,5.50,4.50,6.90,6.50,4.80,5.50,4.40,3.40,6.20,7.41,3.50,0.72,7.78,2.16,0.76,Warning
115,Ukraine,2014,113th,4.70,8.00,6.40,5.50,5.00,5.40,8.00,3.90,6.10,4.50,3.40,6.30,0.95,1.86,0.67,6.50,7.91,0.75,Warning
116,Cape Verde,2014,93rd,5.70,5.50,4.20,6.20,7.20,8.60,6.00,6.80,4.80,6.80,4.40,7.90,0.00,1.52,0.49,5.55,3.39,0.51,Warning
117,Malaysia,2014,117th,6.50,7.00,6.20,3.90,5.60,4.80,6.60,4.60,6.90,5.50,4.50,4.10,2.96,0.58,0.82,7.16,5.90,0.91,Warning
118,Jamaica,2014,119th,6.00,3.70,4.00,6.80,5.80,7.50,5.60,5.60,5.10,5.50,3.30,6.00,1.76,0.70,0.91,8.09,6.40,0.92,Warning
119,Macedonia,2014,116th,5.70,7.00,7.30,5.90,5.90,5.80,5.80,4.10,4.20,3.80,5.00,5.90,0.28,1.18,0.50,7.93,6.50,0.50,Warning
120,Seychelles,2014,122nd,6.40,5.70,4.80,4.90,6.30,5.20,6.00,3.50,4.90,5.40,3.40,7.20,0.00,3.78,0.43,7.01,7.49,0.49,Warning
121,Belize,2014,114th,5.50,4.30,4.40,5.60,6.50,6.80,6.00,6.10,4.40,6.20,4.60,6.60,0.35,0.22,0.84,8.08,4.21,0.90,Warning
122,Brunei Darussalam,2014,123rd,5.60,7.40,6.20,3.10,7.80,4.90,7.10,2.50,7.40,4.50,3.00,4.10,2.45,2.28,0.68,7.45,3.12,0.75,Warning
123,Kuwait,2014,127th,4.20,8.00,4.90,3.30,5.00,3.40,7.30,2.80,6.90,5.40,3.70,4.10,3.29,0.70,0.70,7.40,6.81,0.74,Stable
124,Botswana,2014,121st,3.20,3.30,5.10,6.40,7.80,5.30,4.10,6.30,4.60,8.00,5.50,4.90,0.08,1.36,0.69,7.65,3.37,0.75,Stable
125,Mongolia,2014,129th,4.30,5.50,4.00,4.60,6.50,2.80,4.80,6.00,5.10,5.80,2.50,6.20,0.27,3.60,0.38,8.06,7.16,0.51,Stable
126,Croatia,2014,136th,4.50,4.40,5.60,5.00,4.10,4.60,3.70,3.20,4.40,3.50,5.20,4.70,6.40,3.22,0.80,7.73,5.96,0.82,Stable
127,Brazil,2014,125th,5.60,4.90,5.60,3.60,8.00,3.80,5.40,5.60,5.60,6.70,3.60,3.00,2.93,0.32,0.66,6.45,4.84,0.70,Stable
128,Trinidad and Tobago,2014,126th,5.40,5.60,4.40,4.60,5.80,7.80,5.30,5.10,4.90,5.20,3.30,3.90,0.53,0.66,0.89,4.90,7.34,0.94,Stable
129,Bulgaria,2014,133rd,4.40,5.30,4.90,5.20,4.80,4.90,4.90,4.10,3.70,4.10,3.40,4.70,6.25,0.60,0.71,7.88,5.30,0.86,Stable
